Angulo_Medido_grados,Intensidad_Relativa,Angulo_Corregido_grados,Indice_Refraccion,Longitud_Onda_nm
0.0,-0.89,114.402,1.7768815985571667,403.5069032495834
0.0,-0.89,114.402,1.7768815985571667,403.5069032495834
0.0,-0.91,114.402,1.7768815985571667,403.5069032495834
0.0,-0.89,114.402,1.7768815985571667,403.5069032495834
0.0,-0.81,114.402,1.7768815985571667,403.5069032495834
0.0,-0.83,114.402,1.7768815985571667,403.5069032495834
0.0,-0.86,114.402,1.7768815985571667,403.5069032495834
0.0,-0.84,114.402,1.7768815985571667,403.5069032495834
0.0,-0.82,114.402,1.7768815985571667,403.5069032495834
0.0,-0.83,114.402,1.7768815985571667,403.5069032495834
0.0,-0.83,114.402,1.7768815985571667,403.5069032495834
0.0,-0.78,114.402,1.7768815985571667,403.5069032495834
0.0,-0.82,114.402,1.7768815985571667,403.5069032495834
0.0,-0.75,114.402,1.7768815985571667,403.5069032495834
0.0,-0.72,114.402,1.7768815985571667,403.5069032495834
0.0,-0.75,114.402,1.7768815985571667,403.5069032495834
0.0,-0.73,114.402,1.7768815985571667,403.5069032495834
0.0,-0.78,114.402,1.7768815985571667,403.5069032495834
0.0,-0.8,114.402,1.7768815985571667,403.5069032495834
0.0,-0.77,114.402,1.7768815985571667,403.5069032495834
0.0,-0.75,114.402,1.7768815985571667,403.5069032495834
0.004,-0.76,114.398,1.7769106772610843,403.4605024792879
0.004,-0.65,114.398,1.7769106772610843,403.4605024792879
0.004,-0.61,114.398,1.7769106772610843,403.4605024792879
0.004,-0.61,114.398,1.7769106772610843,403.4605024792879
0.004,-0.63,114.398,1.7769106772610843,403.4605024792879
0.004,-0.67,114.398,1.7769106772610843,403.4605024792879
0.009,-0.67,114.393,1.7769470195559256,403.4025626646264
0.009,-0.68,114.393,1.7769470195559256,403.4025626646264
0.009,-0.65,114.393,1.7769470195559256,403.4025626646264
0.009,-0.59,114.393,1.7769470195559256,403.4025626646264
0.013,-0.62,114.389,1.7769760885234882,403.35625966728105
0.013,-0.59,114.389,1.7769760885234882,403.35625966728105
0.013,-0.62,114.389,1.7769760885234882,403.35625966728105
0.013,-0.64,114.389,1.7769760885234882,403.35625966728105
0.013,-0.59,114.389,1.7769760885234882,403.35625966728105
0.017,-0.64,114.385,1.7770051531634294,403.31000003909105
0.017,-0.61,114.385,1.7770051531634294,403.31000003909105
0.017,-0.6,114.385,1.7770051531634294,403.31000003909105
0.017,-0.64,114.385,1.7770051531634294,403.31000003909105
0.022,-0.65,114.38,1.777041477877306,403.25223641176217
0.022,-0.62,114.38,1.777041477877306,403.25223641176217
0.022,-0.62,114.38,1.777041477877306,403.25223641176217
0.022,-0.67,114.38,1.777041477877306,403.25223641176217
0.026,-0.62,114.376,1.7770705327793026,403.2060741723526
0.026,-0.68,114.376,1.7770705327793026,403.2060741723526
