Angulo_Medido_grados,Intensidad_Relativa,Angulo_Corregido_grados,Indice_Refraccion,Longitud_Onda_nm
0.0,4.9,91.752,1.8671496368860847,
0.0,4.89,91.752,1.8671496368860847,
0.0,4.91,91.752,1.8671496368860847,
0.0,4.86,91.752,1.8671496368860847,
0.0,4.82,91.752,1.8671496368860847,
0.0,4.8,91.752,1.8671496368860847,
0.0,4.8,91.752,1.8671496368860847,
0.0,4.82,91.752,1.8671496368860847,
0.0,4.81,91.752,1.8671496368860847,
0.0,4.81,91.752,1.8671496368860847,
0.0,4.84,91.752,1.8671496368860847,
0.0,4.85,91.752,1.8671496368860847,
0.0,4.82,91.752,1.8671496368860847,
0.0,4.79,91.752,1.8671496368860847,
0.0,4.8,91.752,1.8671496368860847,
0.0,4.79,91.752,1.8671496368860847,
0.0,4.75,91.752,1.8671496368860847,
0.0,4.76,91.752,1.8671496368860847,
0.0,4.81,91.752,1.8671496368860847,
0.0,4.77,91.752,1.8671496368860847,
0.0,4.77,91.752,1.8671496368860847,
0.004,4.77,91.74799999999999,1.8671518178740618,
0.004,4.78,91.74799999999999,1.8671518178740618,
0.004,4.77,91.74799999999999,1.8671518178740618,
0.009,4.82,91.743,1.8671545371018639,
0.009,4.75,91.743,1.8671545371018639,
0.013,4.78,91.73899999999999,1.8671567068783514,
0.013,4.73,91.73899999999999,1.8671567068783514,
0.017,4.76,91.735,1.8671588716719298,
0.144,4.79,91.60799999999999,1.8672250131345494,
0.511,4.8,91.241,1.8673879111218707,
0.934,4.73,90.818,1.867523612595188,
1.257,4.76,90.49499999999999,1.8675896934728935,
1.518,4.76,90.234,1.8676193408591952,
1.693,4.74,90.059,1.8676273305120001,
1.898,4.67,89.854,1.867624551465034,
2.112,4.66,89.64,1.8676076787470872,
2.313,4.67,89.439,1.8675788336667167,
2.483,4.62,89.26899999999999,1.8675446104340638,
2.609,4.62,89.143,1.867513434180335,
2.779,4.57,88.973,1.8674635314412253,
3.011,4.53,88.741,1.8673809000290384,
3.238,4.58,88.514,1.8672838198145927,
3.473,4.54,88.279,1.8671664092088254,
3.661,4.54,88.091,1.8670600972754026,
3.827,4.53,87.925,1.8669570768188348,
3.971,4.52,87.78099999999999,1.8668607604460352,
4.132,4.47,87.61999999999999,1.8667454302206758,
4.311,4.47,87.441,1.866607734663236,
4.468,4.47,87.28399999999999,1.8664787545960067,
4.643,4.48,87.109,1.8663259486891823,
4.856,4.41,86.896,1.8661271084843074,
5.088,4.45,86.664,1.8658944789093348,
5.284,4.42,86.46799999999999,1.8656849075239585,
5.463,4.44,86.289,1.8654830825751365,
5.651,4.38,86.101,1.8652603918183148,
5.808,4.35,85.94399999999999,1.865066009557771,
6.017,4.36,85.735,1.8647953703182278,
6.209,4.37,85.54299999999999,1.8645347960003316,
6.41,4.36,85.342,1.8642497526764985,
6.615,4.38,85.137,1.8639461301665066,
6.768,4.38,84.984,1.86371103349533,
6.894,4.35,84.85799999999999,1.8635119771172237,
7.007,4.36,84.74499999999999,1.8633292746127688,
7.165,4.33,84.58699999999999,1.8630671835137462,
7.317,4.3,84.435,1.8628077505018386,
7.483,4.31,84.26899999999999,1.8625162532976474,
7.588,4.33,84.164,1.8623274706262607,
7.671,4.33,84.08099999999999,1.8621758292545123,
7.789,4.29,83.963,1.8619565757076169,
7.885,4.25,83.86699999999999,1.8617750244893312,
7.972,4.27,83.78,1.8616080334843286,
8.055,4.26,83.697,1.8614465403923341,
8.142,4.24,83.61,1.8612749801605288,
8.26,4.22,83.49199999999999,1.861038554102023,
8.378,4.19,83.374,1.8607978293770533,
8.504,4.15,83.24799999999999,1.8605360403121607,
8.609,4.17,83.143,1.8603141413371487,
8.674,4.26,83.078,1.860175071312653,
8.718,4.13,83.03399999999999,1.8600801921868233,
8.77,4.14,82.982,1.8599672928039506,
8.831,4.2,82.92099999999999,1.8598337907748559,
8.98,4.19,82.77199999999999,1.8595028744837987,
9.119,4.14,82.633,1.8591880015007207,
9.154,4.18,82.598,1.859107779266381,
9.242,4.17,82.50999999999999,1.8589044115699247,
9.32,4.16,82.43199999999999,1.8587221612703277,
9.368,4.16,82.384,1.8586090767361376,
9.442,4.16,82.31,1.8584333494080625,
9.516,4.16,82.23599999999999,1.858255937840063,
9.569,4.1,82.18299999999999,1.8581278379194397,
9.608,4.17,82.14399999999999,1.8580330241718455,
9.652,4.17,82.1,1.857925493525115,
9.708,4.25,82.044,1.8577877757929084,
9.774,4.3,81.978,1.8576242285106346,
9.848,4.28,81.904,1.857439265992408,
9.966,4.29,81.786,1.8571408468238009,
10.11,4.34,81.642,1.856770883344282,
10.215,4.3,81.53699999999999,1.8564971070921703,
10.302,4.3,81.44999999999999,1.8562677022352692,
10.363,4.3,81.389,1.8561054710897549,
10.446,4.29,81.306,1.8558828985612372,
10.546,4.28,81.20599999999999,1.8556119350790028,
10.66,4.28,81.092,1.8552993003663971,
10.821,4.26,80.931,1.8548509948874052,
10.969,4.33,80.783,1.8544318914442974,
11.148,4.3,80.604,1.8539160538542807,
11.314,4.26,80.43799999999999,1.8534289295003257,
11.467,4.32,80.285,1.8529725018949237,
11.602,4.3,80.14999999999999,1.852563839608533,
11.755,4.27,79.997,1.8520939703997872,
11.903,4.3,79.84899999999999,1.8516326684111737,
11.999,4.28,79.753,1.851329878428057,
12.108,4.3,79.64399999999999,1.8509826847233932,
12.243,4.31,79.509,1.8505476633545184,
12.366,4.36,79.386,1.8501464859818801,
12.536,4.35,79.216,1.8495844456731643,
12.719,4.27,79.033,1.8489696190088605,
