Angulo_Medido_grados,Intensidad_Relativa,Angulo_Corregido_grados,Indice_Refraccion,Longitud_Onda_nm
0.0,5.36,87.1,1.8663178325201968,
0.0,5.3,87.1,1.8663178325201968,
0.0,5.32,87.1,1.8663178325201968,
0.0,5.31,87.1,1.8663178325201968,
0.0,5.41,87.1,1.8663178325201968,
0.0,5.4,87.1,1.8663178325201968,
0.0,5.38,87.1,1.8663178325201968,
0.004,5.41,87.09599999999999,1.8663142172463763,
0.004,5.39,87.09599999999999,1.8663142172463763,
0.004,5.41,87.09599999999999,1.8663142172463763,
0.004,5.41,87.09599999999999,1.8663142172463763,
0.004,5.41,87.09599999999999,1.8663142172463763,
0.004,5.45,87.09599999999999,1.8663142172463763,
0.004,5.45,87.09599999999999,1.8663142172463763,
0.004,5.39,87.09599999999999,1.8663142172463763,
0.004,5.43,87.09599999999999,1.8663142172463763,
0.009,5.44,87.091,1.8663096911552652,
0.009,5.42,87.091,1.8663096911552652,
0.009,5.43,87.091,1.8663096911552652,
0.009,5.43,87.091,1.8663096911552652,
0.013,5.37,87.08699999999999,1.8663060646833398,
0.013,5.39,87.08699999999999,1.8663060646833398,
0.013,5.43,87.08699999999999,1.8663060646833398,
0.013,5.44,87.08699999999999,1.8663060646833398,
0.013,5.41,87.08699999999999,1.8663060646833398,
0.017,5.39,87.083,1.8663024332345206,
0.017,5.43,87.083,1.8663024332345206,
0.017,5.39,87.083,1.8663024332345206,
0.022,5.37,87.07799999999999,1.8662978869247788,
0.022,5.33,87.07799999999999,1.8662978869247788,
0.022,5.35,87.07799999999999,1.8662978869247788,
0.022,5.34,87.07799999999999,1.8662978869247788,
0.026,5.36,87.074,1.8662942442780424,
0.026,5.3,87.074,1.8662942442780424,
0.031,5.27,87.06899999999999,1.8662896839709857,
0.039,5.3,87.06099999999999,1.866282371305188,
0.122,5.32,86.978,1.8662053277731045,
0.436,5.3,86.66399999999999,1.8658944789093348,
0.755,5.3,86.345,1.865547293500412,
0.86,5.31,86.24,1.8654260987574776,
0.881,5.26,86.219,1.865401448777738,
0.903,5.27,86.19699999999999,1.8653754780493068,
0.925,5.19,86.175,1.8653493569690065,
0.977,5.23,86.12299999999999,1.8652870185864039,
1.034,5.23,86.06599999999999,1.865217721236257,
1.1,5.26,86.0,1.865136221583789,
1.152,5.23,85.948,1.8650710569964208,
1.209,5.19,85.89099999999999,1.864998661987948,
1.252,5.2,85.848,1.8649433806770128,
1.305,5.22,85.79499999999999,1.864874453459186,
1.357,5.18,85.743,1.8648059793004297,
1.409,5.16,85.69099999999999,1.864736665840636,
1.466,5.21,85.634,1.864659723489471,
1.501,5.11,85.59899999999999,1.8646119785514552,
1.54,5.15,85.55999999999999,1.864558329277882,
1.584,5.15,85.51599999999999,1.8644972353177351,
1.623,5.15,85.47699999999999,1.8644425817023997,
1.662,5.15,85.43799999999999,1.8643874562247937,
1.702,5.12,85.398,1.8643304271463448,
1.737,5.16,85.363,1.8642801195874796,
1.767,5.14,85.333,1.8642366964159838,
1.798,5.11,85.30199999999999,1.8641915325678058,
1.82,5.13,85.28,1.8641593000031973,
1.828,5.09,85.27199999999999,1.8641475418574993,
1.846,5.15,85.25399999999999,1.864121013466544,
1.872,5.15,85.228,1.8640825173095295,
1.898,5.1,85.202,1.8640438115436724,
1.933,5.11,85.16699999999999,1.8639913766463763,
1.985,5.11,85.115,1.8639127720867856,
2.016,5.12,85.08399999999999,1.863865512858938,
2.038,5.11,85.062,1.8638317933347754,
2.059,5.12,85.041,1.8637994665686428,
2.086,5.12,85.014,1.8637577027388745,
2.107,5.11,84.993,1.8637250635555285,
2.138,5.11,84.96199999999999,1.8636766321150822,
2.182,5.15,84.91799999999999,1.8636073793979762,
2.238,5.15,84.862,1.8635183719707644,
2.291,5.13,84.809,1.8634332378743297,
2.339,5.14,84.761,1.8633553843752344,
2.387,5.18,84.713,1.8632768172114316,
2.439,5.14,84.661,1.8631908975261708,
2.491,5.09,84.609,1.8631041404730584,
2.539,5.08,84.56099999999999,1.8630233139033463,
2.579,5.13,84.521,1.8629554135233553,
2.609,5.14,84.491,1.8629041631838816,
2.644,5.12,84.45599999999999,1.8628440190089266,
2.679,5.09,84.42099999999999,1.8627834956672678,
2.701,5.12,84.399,1.8627452583672115,
2.714,5.15,84.386,1.8627225931917468,
2.727,5.17,84.37299999999999,1.8626998757158413,
2.758,5.13,84.342,1.8626454922247533,
2.797,5.11,84.303,1.8625766519071916,
2.832,5.15,84.268,1.8625144714536768,
2.845,5.13,84.255,1.86249127932896,
2.871,5.13,84.229,1.8624447382319007,
2.915,5.14,84.18499999999999,1.8623654999883763,
2.95,5.15,84.14999999999999,1.8623020419404468,
2.985,5.17,84.115,1.8622382050199486,
3.011,5.2,84.089,1.8621905380660813,
3.028,5.15,84.07199999999999,1.8621592581855897,
3.067,5.17,84.03299999999999,1.8620871607975509,
3.111,5.16,83.98899999999999,1.862005255578927,
3.146,5.14,83.954,1.8619396762941132,
3.176,5.15,83.92399999999999,1.8618831640821325,
3.207,5.19,83.893,1.8618244758777553,
3.238,5.14,83.862,1.8617654906550944,
3.272,5.18,83.82799999999999,1.8617004556902377,
3.307,5.18,83.79299999999999,1.8616331347944628,
3.347,5.19,83.753,1.861555733149081,
3.382,5.19,83.71799999999999,1.861487601206717,
3.416,5.12,83.684,1.861421053524531,
3.46,5.16,83.64,1.86133440293878,
3.499,5.15,83.601,1.861257099126568,
3.53,5.2,83.57,1.8611953174337261,
3.565,5.19,83.535,1.861125207254781,
3.6,5.17,83.5,1.8610547188422621,
3.635,5.18,83.46499999999999,1.8609838522344568,
3.674,5.2,83.42599999999999,1.8609044411342281,
3.718,5.19,83.38199999999999,1.860814285505638,
3.752,5.09,83.348,1.860744210552888,
3.783,5.09,83.317,1.860680007775681,
3.822,5.2,83.27799999999999,1.8605988153524111,
3.848,5.18,83.252,1.8605444263601185,
3.875,5.15,83.225,1.8604877247487257,
3.901,5.18,83.199,1.8604329106544957,
3.931,5.16,83.169,1.8603694045214731,
3.971,5.13,83.12899999999999,1.8602842978841672,
4.006,5.18,83.094,1.8602094248136942,
4.032,5.15,83.068,1.8601535602899624,
4.058,5.14,83.042,1.8600974873343665,
4.08,5.09,83.02,1.8600498782009316,
4.106,5.09,82.994,1.8599934204922772,
4.128,5.08,82.972,1.8599454858229363,
4.15,5.11,82.94999999999999,1.8598974019659946,
4.18,5.16,82.91999999999999,1.8598315926625304,
4.219,5.17,82.881,1.8597456259046081,
4.267,5.12,82.833,1.8596391772527319,
4.302,5.15,82.798,1.8595611109183847,
4.333,5.19,82.767,1.8594916512956263,
4.381,5.19,82.719,1.8593835168837303,
4.451,5.22,82.649,1.8592245489004677,
4.499,5.19,82.601,1.8591146702361345,
4.555,5.24,82.54499999999999,1.8589855819512806,
4.616,5.23,82.484,1.858843869502911,
4.669,5.24,82.431,1.8587198125729838,
4.717,5.21,82.383,1.8586067132706212,
4.778,5.2,82.32199999999999,1.8584619601579597,
4.848,5.22,82.252,1.8582944397876793,
4.9,5.16,82.19999999999999,1.8581690206550718,
4.939,5.16,82.161,1.8580744107269787,
4.979,5.17,82.121,1.8579768891989372,
5.022,5.12,82.07799999999999,1.857871505065639,
5.061,5.19,82.03899999999999,1.8577754327036486,
5.096,5.17,82.00399999999999,1.85768881599375,
5.127,5.15,81.973,1.8576117840315693,
5.171,5.15,81.92899999999999,1.8575019414668315,
5.223,5.16,81.877,1.8573713608780897,
5.271,5.17,81.829,1.8572500879164688,
5.306,5.16,81.794,1.8571612137297862,
5.341,5.15,81.759,1.8570719634651056,
5.367,5.16,81.73299999999999,1.8570054198442958,
5.389,5.14,81.711,1.8569489516420723,
5.411,5.13,81.689,1.8568923348963207,
5.441,5.17,81.65899999999999,1.856814890876706,
5.493,5.16,81.607,1.8566800003929922,
5.541,5.14,81.559,1.8565547498041346,
5.585,5.15,81.515,1.856439315933894,
5.629,5.17,81.47099999999999,1.8563232883281844,
5.69,5.1,81.41,1.8561614499137529,
5.742,5.11,81.35799999999999,1.8560225886204003,
5.803,5.11,81.297,1.855858637314735,
5.869,5.15,81.231,1.8556799631657834,
5.973,5.13,81.127,1.8553957080783032,
6.069,5.14,81.03099999999999,1.8551303790492888,
6.135,5.11,80.96499999999999,1.8549463288689212,
6.192,5.13,80.90799999999999,1.8547863036832033,
6.226,5.15,80.874,1.854690376749959,
6.257,5.16,80.84299999999999,1.854602605758778,
6.288,5.15,80.812,1.854514540831815,
6.318,5.17,80.782,1.854429036878412,
6.362,5.17,80.738,1.8543031332681257,
6.401,5.15,80.699,1.8541910420569137,
6.432,5.1,80.66799999999999,1.8541016122467597,
6.475,5.07,80.625,1.8539770781781828,
6.514,5.03,80.586,1.8538636400393191,
6.549,4.97,80.55099999999999,1.8537614409106296,
6.58,4.95,80.52,1.8536706091643043,
6.632,4.99,80.46799999999999,1.8535175870945968,
6.711,5.02,80.389,1.8532835311232276,
6.807,4.98,80.29299999999999,1.852996544412559,
6.903,4.97,80.19699999999999,1.8527067454466217,
6.999,4.97,80.101,1.8524141354153747,
7.09,4.93,80.00999999999999,1.8521341713163921,
7.169,4.97,79.931,1.8518890790264524,
7.23,5.0,79.86999999999999,1.8516985296338828,
7.282,4.95,79.818,1.8515351992448028,
7.335,4.94,79.765,1.851367880622377,
7.405,4.93,79.695,1.8511455832544557,
7.457,4.91,79.643,1.850979482723389,
7.518,4.95,79.582,1.8507835854401318,
7.601,4.94,79.499,1.8505152190641296,
7.706,4.93,79.39399999999999,1.8501727186325723,
7.784,4.94,79.31599999999999,1.849916120782637,
7.85,4.93,79.25,1.8496975559550015,
7.906,4.96,79.19399999999999,1.8495110696289574,
7.954,4.94,79.146,1.8493504664238503,
8.011,4.89,79.089,1.8491588418380638,
8.063,4.91,79.03699999999999,1.8489831664771046,
8.129,4.94,78.97099999999999,1.8487590126504092,
8.186,4.89,78.91399999999999,1.84856436216395,
8.251,4.83,78.84899999999999,1.8483411902496338,
8.321,4.9,78.779,1.8480994192598625,
8.378,4.87,78.722,1.847901451992764,
8.439,4.9,78.661,1.8476885022427139,
8.495,4.88,78.60499999999999,1.847492015471737,
8.543,4.93,78.55699999999999,1.847322842707278,
8.587,4.93,78.51299999999999,1.8471671551713325,
8.644,4.96,78.45599999999999,1.846964598181182,
8.7,4.95,78.39999999999999,1.8467646378461013,
8.748,4.96,78.35199999999999,1.8465924885524405,
8.788,4.96,78.312,1.8464484987682857,
8.823,4.92,78.27699999999999,1.846322111031393,
8.858,4.94,78.24199999999999,1.8461953531363293,
8.879,4.92,78.22099999999999,1.8461191207522532,
8.897,4.94,78.20299999999999,1.8460536726784078,
8.91,4.92,78.19,1.8460063437614793,
8.923,4.89,78.17699999999999,1.8459589638017002,
8.94,4.92,78.16,1.8458969283813995,
8.958,4.89,78.142,1.8458311486952783,
8.975,4.93,78.125,1.8457689336057814,
9.002,4.91,78.098,1.8456699420661054,
9.032,4.85,78.068,1.8455596933620195,
9.071,4.85,78.029,1.8454159639426357,
9.124,4.85,77.976,1.8452199036639554,
9.189,4.87,77.911,1.8449782954738567,
9.25,4.9,77.85,1.8447503965433436,
9.298,4.86,77.80199999999999,1.844570277581728,
9.333,4.79,77.767,1.84443850306516,
9.359,4.86,77.741,1.8443403744679683,
9.372,4.82,77.728,1.8442912337922612,
9.394,4.82,77.70599999999999,1.8442079566652123,
9.425,4.83,77.675,1.844090364171428,
9.468,4.87,77.63199999999999,1.843926772850279,
9.508,4.9,77.592,1.8437740950519381,
9.551,4.86,77.54899999999999,1.843609429234796,
9.577,4.91,77.523,1.8435095938910386,
9.604,4.9,77.496,1.8434057034250093,
