Voltaje_V,Corriente_A,Resistencia_Ω,Temperatura_K,Lambda_max_exp_nm,Lambda_max_teo_nm,Error_absoluto_nm,Eficiencia_visible_%,Angulo_inicial_grados
4.0,0.41,9.75609756097561,2079.1217920470667,,1393.857738919027,,,87.101
7.0,0.56,12.499999999999998,2557.0925221364705,,1133.3183977162855,,,91.752
10.0,0.68,14.705882352941176,2925.5015190118365,,990.599383102995,,,114.402
