"Ángulo (rad) Serie Nº 11";"Intensidad luminosa (%) Serie Nº 11"
0,000;2,0
;2,0
;2,0
0,000;
;2,0
;2,0
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,000;
;2,1
;2,1
0,000;2,1
;2,1
;2,1
0,004;
;2,1
;2,1
0,004;2,1
;2,1
;2,1
0,013;
;2,1
;2,1
0,022;2,1
;2,1
;2,1
0,031;
;2,1
;2,1
0,039;2,1
;2,1
;2,1
0,044;
;2,1
;2,1
0,052;2,1
;2,1
;2,1
0,065;
;2,1
;2,1
0,113;2,1
;2,1
;2,1
0,183;
;2,1
;2,1
0,271;2,0
;2,0
;2,0
0,375;
;2,0
;2,0
0,502;2,0
;2,0
;2,0
0,646;
;2,0
;2,0
0,768;2,0
;1,9
;1,9
0,855;
;1,9
;1,9
0,951;1,9
;1,9
;1,9
1,065;
;1,9
;1,9
1,217;1,8
;1,8
;1,8
1,326;
;1,8
;1,8
1,405;1,8
;1,8
;1,8
1,457;
;1,7
;1,7
1,488;1,7
;1,7
;1,7
1,505;
;1,7
;1,7
1,510;1,7
;1,7
;1,7
1,518;
;1,7
;1,7
1,536;1,7
;1,7
;1,7
1,571;
;1,7
;1,7
1,614;1,7
;1,7
;1,7
1,658;
;1,7
;1,7
1,689;1,7
;1,7
;1,7
1,715;
;1,7
;1,7
1,741;1,7
;1,7
;1,7
1,763;
;1,7
;1,6
1,802;1,6
;1,6
;1,6
1,854;
;1,6
;1,6
1,920;1,6
;1,6
;1,6
1,990;
;1,6
;1,6
2,046;1,6
;1,7
;1,6
2,064;
;1,6
;1,7
2,073;1,6
;1,6
;1,6
2,094;
;1,6
;1,6
2,112;1,6
;1,6
;1,6
2,112;
;1,6
;1,6
2,112;1,6
;1,6
;1,6
2,116;
;1,6
;1,6
2,125;1,6
;1,6
;1,6
2,147;
;1,6
;1,6
2,169;1,6
;1,6
;1,6
2,173;
;1,5
;1,5
2,173;1,5
;1,5
;1,5
2,177;
;1,5
;1,5
2,182;1,5
;1,5
;1,5
2,190;
;1,5
;1,5
2,212;1,5
;1,5
;1,5
2,243;
;1,5
;1,5
2,282;1,5
;1,5
;1,5
2,334;
;1,5
;1,5
2,395;1,5
;1,6
;1,6
2,465;
;1,6
;1,6
2,548;1,6
;1,6
;1,6
2,631;
;1,6
;1,6
2,692;1,6
;1,6
;1,6
2,740;
;1,6
;1,6
2,814;1,6
;1,5
;1,5
2,915;
;1,5
;1,5
2,985;1,5
;1,5
;1,4
3,037;
;1,4
;1,4
3,072;1,4
;1,4
;1,4
3,124;
;1,4
;1,4
3,172;1,4
;1,4
;1,4
3,211;
;1,4
;1,4
3,255;1,4
;1,4
;1,4
3,307;
;1,4
;1,4
3,355;1,4
;1,4
;1,4
3,390;
;1,4
;1,4
3,447;1,4
;1,4
;1,4
3,499;
;1,4
;1,4
3,526;1,4
;1,4
;1,4
3,574;
;1,4
;1,4
3,600;1,4
;1,4
;1,4
3,630;
;1,4
;1,4
3,643;1,4
;1,5
;1,4
3,670;
;1,4
;1,5
3,726;1,4
;1,5
;1,5
3,770;
;1,5
;1,5
3,831;1,5
;1,5
;1,5
3,910;
;1,5
;1,5
3,966;1,5
;1,5
;1,6
4,019;
;1,5
;1,6
4,071;1,5
;1,6
;1,6
4,093;
;1,6
;1,6
4,119;1,6
;1,6
;1,6
4,163;
;1,6
;1,6
4,198;1,6
;1,6
;1,6
4,215;
;1,5
;1,5
4,237;1,5
;1,5
;1,5
4,263;
;1,5
;1,5
4,285;1,5
;1,5
;1,5
4,320;
;1,5
;1,5
4,376;1,5
;1,5
;1,5
4,424;
;1,5
;1,5
4,468;1,5
;1,5
;1,5
4,499;
;1,5
;1,5
4,525;1,5
;1,5
;1,5
4,547;
;1,5
;1,5
4,560;1,5
;1,5
;1,5
4,568;
;1,5
;1,5
4,581;1,5
;1,5
;1,5
4,581;
;1,5
;1,5
4,586;1,5
;1,5
;1,5
4,595;
;1,5
;1,5
4,612;1,5
;1,5
;1,5
4,656;
;1,5
;1,5
4,717;1,5
;1,5
;1,5
4,782;
;1,5
;1,5
4,826;1,5
;1,5
;1,5
4,869;
;1,5
;1,5
4,917;1,5
;1,5
;1,5
4,952;
;1,5
;1,5
4,970;1,5
;1,5
;1,5
4,992;
;1,5
;1,5
5,009;1,5
;1,5
;1,5
5,018;
;1,5
;1,5
5,027;1,5
;1,5
;1,5
5,040;
;1,5
;1,5
5,057;1,5
;1,5
;1,5
5,096;
;1,4
;1,5
5,149;1,4
;1,4
;1,4
5,192;
;1,4
;1,4
5,223;1,4
;1,4
;1,4
5,245;
;1,4
;1,4
5,267;1,4
;1,4
;1,4
5,301;
;1,4
;1,4
5,341;1,4
;1,4
;1,4
5,393;
;1,4
;1,5
5,472;1,5
;1,4
;1,5
5,537;
;1,5
;1,5
5,559;1,5
;1,5
;1,5
5,581;
;1,4
;1,4
5,585;1,4
;1,5
;1,4
5,585;
;1,4
;1,5
5,594;1,5
;1,5
;1,4
5,603;
;1,4
;1,4
5,633;1,4
;1,4
;1,4
5,672;
;1,5
;1,5
5,712;1,5
;1,5
;1,5
5,777;
;1,5
;1,5
5,842;1,5
;1,5
;1,5
5,904;
;1,5
;1,5
5,952;1,5
;1,5
;1,5
5,973;
;1,5
;1,5
6,000;1,5
;1,5
;1,5
6,030;
;1,5
;1,5
6,048;1,5
;1,5
;1,5
6,065;
;1,5
;1,5
6,091;1,5
;1,5
;1,5
6,130;
;1,5
;1,5
6,174;1,5
;1,5
;1,5
6,209;
;1,5
;1,5
6,248;1,5
;1,5
;1,5
6,283;
;1,5
;1,5
6,309;1,5
;1,5
;1,5
6,349;
;1,5
;1,5
6,392;1,5
;1,5
;1,5
6,423;
;1,5
;1,5
6,458;1,5
;1,5
;1,5
6,506;
