"Ángulo (rad) Serie Nº 10";"Intensidad luminosa (%) Serie Nº 10"
0,000;1,2
;1,2
;1,2
0,000;
;1,2
;1,2
0,000;1,2
;1,2
;1,3
0,000;
;1,2
;1,2
0,000;1,1
;1,2
;1,2
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,1
;1,1
0,000;1,1
;1,1
;1,1
0,000;
;1,0
;1,0
0,000;1,1
;1,0
;1,0
0,000;
;1,0
;1,0
0,004;1,0
;1,0
;1,0
0,004;
;1,0
;1,0
0,004;1,0
;1,0
;1,0
0,009;
;1,0
;1,0
0,013;1,0
;1,0
;1,0
0,026;
;1,0
;1,0
0,127;1,0
;1,0
;1,0
0,336;
;1,0
;1,0
0,541;1,0
;1,0
;1,0
0,633;
;1,0
;1,0
0,689;1,0
;1,0
;1,0
0,737;
;1,0
;1,0
0,820;1,0
;1,0
;1,0
0,903;
;1,0
;1,0
0,973;1,0
;1,0
;1,0
1,038;
;1,0
;1,0
1,104;1,0
;1,0
;1,0
1,174;
;1,0
;1,0
1,244;1,0
;1,0
;1,0
1,305;
;1,0
;1,0
1,379;1,0
;1,0
;1,0
1,462;
;1,0
;1,0
1,523;1,0
;1,0
;1,0
1,571;
;1,0
;1,0
1,619;1,0
;1,0
;1,0
1,676;
;1,0
;1,0
1,758;1,0
;1,0
;1,0
1,859;
;1,0
;1,0
1,963;1,0
;1,0
;1,0
2,055;
;1,0
;1,0
2,164;1,0
;1,0
;1,0
2,269;
;1,0
;1,0
2,347;1,0
;1,0
;1,1
2,409;
;1,1
;1,1
2,452;1,1
;1,1
;1,1
2,509;
;1,1
;1,1
2,587;1,1
;1,1
;1,1
2,666;
;1,2
;1,2
2,736;1,3
;1,3
;1,3
2,810;
;1,3
